REC,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,HY_1,HY_2,HY_3,HY_4
1,FM0973-KG,12.275,13.558,FM0973,FM,973,14,227,0,1,4,60,10,2,24,2019,17287,17287,5.2,894,12,1.2830000000000001,2.5660000000000003,22179.221,1147.002,15148,11839,11726,9561
1,FM0969-KG,9.853,10.091000000000001,FM0969,FM,969,14,227,0,4,5,60,3,2,22,2019,7641,7641,7.3,554,11,0.23800000000000002,0.47600000000000003,1818.558,131.852,7570,6479,7902,7828
1,FM0973-KG,32.244,32.256,FM0973,FM,973,14,227,0,4,4,55,6,2,22,2019,9860,9860,7.4,726,12,0.012,0.024,118.32,8.712,8093,6468,5154,3508
1,FM0969-KG,4.338,4.471,FM0969,FM,969,14,227,2100,4,3,45,0,4,46,2019,27383,27383,4.8,1319,11,0.133,0.532,3641.9390000000003,175.42700000000002,20957,19365,21481,24461
1,FM0973-KG,28.245,28.284000000000002,FM0973,FM,973,14,227,0,4,4,60,40,4,60,2019,29232,29232,5.0,1466,12,0.039,0.156,1140.048,57.174,16700,10647,13573,13765
1,FM0969-KG,0.675,0.765,FM0969,FM,969,14,227,2100,4,3,45,0,4,44,2019,19202,19202,5.6,1083,11,0.09,0.36,1728.18,97.47,16460,14992,17938,18390
1,FM0973-KG,22.155,22.17,FM0973,FM,973,14,227,0,4,4,60,6,2,18,2019,10206,10206,7.3,749,12,0.015,0.03,153.09,11.235,10206,8368,8809,8843
1,FM0973-KG,11.437999999999999,11.834000000000001,FM0973,FM,973,14,227,0,1,4,60,10,2,24,2019,8043,8043,7.5,601,12,0.396,0.792,3185.028,237.99599999999998,7068,6532,6439,5353
1,FM0969-KG,10.775,10.997,FM0969,FM,969,14,227,0,1,5,60,3,2,22,2019,5857,5857,9.1,534,11,0.222,0.444,1300.254,118.54799999999999,5293,4330,5364,5111
1,FM0969-KG,4.471,4.629,FM0969,FM,969,14,227,2100,4,3,45,0,4,46,2019,27383,27383,4.8,1319,11,0.158,0.632,4326.514,208.40200000000002,20957,19365,21481,24461
