Attribute,Data_Type
REC,int64
RIA_RTE_ID,object
FRM_DFO,float64
TO_DFO,float64
HWY,object
HSYS,object
HNUM,int64
DI,int64
CO,int64
CITY,int64
RU,int64
F_SYSTEM,int64
SPD_MAX,int64
HP_MED_W,int64
NUM_LANES,int64
SUR_W,int64
ADT_YEAR,int64
ADT_CUR,int64
ADT_ADJ,int64
TRK_AADT_PCT,float64
AADT_TRUCKS,int64
LANE_WIDTH,int64
LEN_SEC,float64
LN_MILES,float64
DVMT,float64
DTRKVMT,float64
top10,int64
ID,int64
Corridor_ID,int64
