Crash_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Dfo,Street_Name,Onsys_Fl,Rural_Fl,Shldr_Width_Left,Shldr_Width_Right,Median_Width,Nbr_Of_Lane,Func_Sys_ID,Curve_Type_ID
15321239,101,208,29.76286176,-95.37135697,IH,45,47.79,IH0045,Y,N,0,20,3,10,11,1
15322353,101,208,29.75920946,-95.3743885,IH,45,47.466,IH0045,Y,N,0,22,3,8,11,1
15322966,101,208,29.76263436,-95.37180393,IH,45,47.75899999999999,IH0045,Y,N,0,20,3,10,11,1
15324027,101,208,29.71432064,-95.31410398,IH,45,42.506,IH0045,Y,N,0,24,20,8,11,1
15324035,101,208,29.76483671,-95.36766395,IH,45,48.052,IH0045,Y,N,0,20,3,8,11,1
15324039,101,208,29.767927500000003,-95.36606589,IH,45,48.286,IH0045,Y,N,0,20,26,8,11,0
15324176,101,208,29.70014571,-95.2925793,IH,45,40.888000000000005,IH0045,Y,N,0,24,20,8,11,1
15325115,101,208,29.7705902,-95.36546051,IH,45,48.475,IH0045,Y,N,0,20,26,8,11,1
15325320,101,208,29.70161311,-95.29487874,IH,45,41.059,IH0045,Y,N,0,24,20,8,11,0
15326806,101,208,29.74428208,-95.36204182,IH,45,46.051,IH0045,Y,N,20,20,28,8,11,1
15327016,101,208,29.70163905,-95.29491939,IH,45,41.062,IH0045,Y,N,0,24,20,8,11,0
15327076,101,208,29.73961212,-95.35371948,IH,45,45.455,IH0045,Y,N,0,24,6,6,11,0
15327401,101,208,29.70206562,-95.29558771,IH,45,41.111999999999995,IH0045,Y,N,0,24,20,8,11,0
15327761,101,208,29.71748209,-95.31912052,IH,45,42.878,IH0045,Y,N,0,24,20,6,11,0
15328504,101,208,29.7356338,-95.34746374,IH,45,44.99100000000001,IH0045,Y,N,0,24,6,6,11,1
15328570,101,208,29.74630561,-95.36610365,IH,45,46.331,IH0045,Y,N,20,20,28,8,11,1
15328647,101,208,29.72785108,-95.3365071,IH,45,44.141999999999996,IH0045,Y,N,0,24,20,8,11,0
15329527,101,208,29.73562037,-95.34744256,IH,45,44.989,IH0045,Y,N,0,24,6,6,11,1
15330021,101,208,29.7361038,-95.34820485,IH,45,45.04600000000001,IH0045,Y,N,0,24,6,6,11,0
15330172,101,208,29.71472769,-95.3147406,IH,45,42.553999999999995,IH0045,Y,N,0,24,20,8,11,0
15330337,101,208,29.7171722,-95.31856444,IH,45,42.838,IH0045,Y,N,0,24,20,6,11,0
15330543,101,208,29.74085209,-95.35564072,IH,45,45.598,IH0045,Y,N,0,24,6,6,11,0
15330809,101,208,29.701537100000003,-95.29475964,IH,45,41.05,IH0045,Y,N,0,24,20,8,11,0
15332171,101,208,29.75168588,-95.37411297,IH,45,46.942,IH0045,Y,N,0,22,3,8,11,1
15332412,101,208,29.70150373,-95.29470735,IH,45,41.04600000000001,IH0045,Y,N,0,24,20,8,11,0
15332431,101,208,29.76618883,-95.36685184,IH,45,48.157,IH0045,Y,N,0,20,3,8,11,1
