,Crash_Date,Crash_Time,Day_of_Week,Trk_Aadt_Pct,Crash_Speed_Limit,Wthr_Cond_ID,Light_Cond_ID,Surf_Cond_ID,Traffic_Cntl_ID,Harm_Evnt_ID,FHE_Collsn_ID,Road_Relat_ID,Crash_Sev_ID,Shldr_Width_Left,Shldr_Width_Right,Median_Width,Nbr_Of_Lane,Func_Sys_ID,Average_AADT,RLD,PED,INT,Rural_Fl_N,Rural_Fl_Y,Cmv_Involv_Fl_N,Cmv_Involv_Fl_Y,Crash_Sev_ID_Bin
Crash_Date,1.0,-0.0050773687651691135,0.0002187842385091237,0.0215250534310235,0.007414949661390296,-0.009574618730106762,0.013538495763240718,-0.009192769286613372,-0.007768153514905019,-0.004071311661397926,-0.01956152068102051,-0.003462506194897241,0.02931128034620948,-0.004917364540669244,-0.019563202947436784,0.005431925474688107,-0.043869601276314625,0.02316489415656654,-0.055905753558254126,-0.006047520424009078,0.009385929849323169,-0.016780368746901014,-0.03484779822438836,0.03484779822438836,-0.016172609478231795,0.016172609478231795,-0.012741876611484694
Crash_Time,-0.0050773687651691135,1.0,0.04457148591414532,-0.021049763798628555,-0.040120209860004696,-0.03799412438511573,0.08513064931121933,-0.08235371389145327,-0.03479043046613351,-0.10914814275264895,0.09069967957747188,-0.11376760644129717,-0.006891543429802234,-0.023538530001322062,-0.03762717287673705,-0.03327231091202033,-0.04024462408431389,0.03623933953051862,-0.03830317918820237,-0.11384990701258002,0.007150219433857134,0.05921858236767614,-0.012818841091364778,0.012818841091364778,0.06377598593119646,-0.06377598593119646,0.011448458774982564
Day_of_Week,0.0002187842385091237,0.04457148591414532,1.0,-0.004446763436930538,0.001456650739947112,-0.00738638326791135,-0.002436535540709389,-0.0010240269091455862,0.0020248006618929374,-0.013631476060541388,0.012049532463850012,-0.01511109804853737,0.009022719229340155,-0.0017069255922218093,0.0028790837914991776,0.0021841774555755923,-0.0005119770401969338,-0.0008430018493715685,0.0004933114348302927,-0.01508556944332982,0.0024053786909069065,0.0018526539755089272,0.0024323648740001225,-0.0024323648740001225,0.011576528576770646,-0.011576528576770646,-0.006793807563179179
Trk_Aadt_Pct,0.0215250534310235,-0.021049763798628555,-0.004446763436930538,1.0,0.32207533745612965,0.0007063238706588128,0.08110692812509097,-0.03652197465808668,0.0297943895530631,0.044858324194255624,-0.056567346326699734,0.03988127440452949,-0.00719027290168902,0.04067491603174916,0.3559541939221013,0.07109550435445387,0.2288376668055426,-0.5185411234215759,0.2967748048705104,0.03416391101312822,-0.028837496774777892,-0.1571333793197402,-0.07085637022637523,0.07085637022637523,-0.10713823096032418,0.10713823096032418,0.005366831691672134
Crash_Speed_Limit,0.007414949661390296,-0.040120209860004696,0.001456650739947112,0.32207533745612965,1.0,-0.008920707911353404,0.031687628432237575,-0.004940291785696923,0.10738950637517024,0.12823612265751078,-0.08256658313289782,0.12209897029832893,0.0101197482868931,0.202116521125169,0.31699552702349415,0.2882165949168402,0.1633892766353713,-0.31623335937078967,0.21373963141767507,0.12048046465289843,-0.05731878178754027,-0.4432338861635618,-0.11870466004425827,0.11870466004425827,-0.09470629373266566,0.09470629373266566,-0.004867389346233993
Wthr_Cond_ID,-0.009574618730106762,-0.03799412438511573,-0.00738638326791135,0.0007063238706588128,-0.008920707911353404,1.0,-0.10407141103514757,-0.41364894797222324,0.031162510493959145,-0.11535665777402597,0.07739970630670681,-0.1215026555173264,-0.03797655185264909,-0.005832061439337302,0.005636140993374675,-0.00035605291622718303,0.014293424353691601,-0.0010807808417790607,0.020974433226278056,-0.12421705816699877,0.010051715592405844,0.018747108963319846,0.0399819940419021,-0.0399819940419021,-0.022205668366273572,0.022205668366273572,0.024100321875917922
Light_Cond_ID,0.013538495763240718,0.08513064931121933,-0.002436535540709389,0.08110692812509097,0.031687628432237575,-0.10407141103514757,1.0,0.06220230988013157,-0.04645225024276021,0.15855355206742422,-0.12315505102642894,0.16419811053864156,-0.004366254812838027,0.02870528355806814,0.043680612721235246,0.016410179796539588,0.03222968072413996,-0.0602162205572544,0.039665247887250454,0.17108943692361345,0.059223063939745246,-0.034331100665114765,0.026341840337316003,-0.026341840337316003,0.024511255553038534,-0.024511255553038534,0.03776540163655678
Surf_Cond_ID,-0.009192769286613372,-0.08235371389145327,-0.0010240269091455862,-0.03652197465808668,-0.004940291785696923,-0.41364894797222324,0.06220230988013157,1.0,0.003045672991697787,0.18007105751814254,-0.11838972504614359,0.19970758997359683,0.060964361167342634,0.021876647251077373,-0.0004096857619978855,0.0157846191828186,-0.013235108249314278,0.010256414618909039,-0.02150748417175866,0.2034850450838892,-0.017023373793753824,-0.03753650451457454,-0.020687681468341754,0.020687681468341754,0.026389478009555465,-0.026389478009555465,-0.04212339656960181
Traffic_Cntl_ID,-0.007768153514905019,-0.03479043046613351,0.0020248006618929374,0.0297943895530631,0.10738950637517024,0.031162510493959145,-0.04645225024276021,0.003045672991697787,1.0,0.02199824466167697,-0.022177864521000023,0.02956845790063176,-0.02158496396611913,0.05175612279885334,0.09333020413290287,0.05626739401896613,0.1189579711594064,-0.10166354667978987,0.12748294267129542,0.029357557177781213,0.002084831689280367,-0.17716409854582565,0.07054118992158753,-0.07054118992158753,-0.02492585305413462,0.02492585305413462,0.0253543918491065
Harm_Evnt_ID,-0.004071311661397926,-0.10914814275264895,-0.013631476060541388,0.044858324194255624,0.12823612265751078,-0.11535665777402597,0.15855355206742422,0.18007105751814254,0.02199824466167697,1.0,-0.6424603866636781,0.870849613392158,0.04927983700485191,0.043311363237884974,0.03528287031584197,0.0776461945921857,-0.020758203104067792,-0.059875446949484976,-0.03039340043402806,0.9083643985927123,-0.23512892966054116,-0.2536399461604104,-0.07993439209004413,0.07993439209004413,0.019287696477883982,-0.019287696477883982,-0.011995832538326309
FHE_Collsn_ID,-0.01956152068102051,0.09069967957747188,0.012049532463850012,-0.056567346326699734,-0.08256658313289782,0.07739970630670681,-0.12315505102642894,-0.11838972504614359,-0.022177864521000023,-0.6424603866636781,1.0,-0.6167187488793548,0.01013851014272968,-0.07922699423064268,-0.08915895732673432,-0.092560476855796,-0.05510982221751427,0.10650197762576254,-0.03978029328173683,-0.5933273170990403,-0.1298559763679526,0.17216159250783478,0.009113424106834401,-0.009113424106834401,-0.021998863827184068,0.021998863827184068,-0.042222311384666436
